,labels,source,path
0,male_sad,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa10.wav
1,male_happy,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h02.wav
2,male_fear,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f06.wav
3,male_happy,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h09.wav
4,male_disgust,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d13.wav
5,male_neutral,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n18.wav
6,male_surprise,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su02.wav
7,male_neutral,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n26.wav
8,male_surprise,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su14.wav
9,male_neutral,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n28.wav
10,male_happy,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h08.wav
11,male_surprise,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su06.wav
12,male_fear,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f04.wav
13,male_fear,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f01.wav
14,male_fear,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f13.wav
15,male_neutral,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n16.wav
16,male_disgust,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d04.wav
17,male_fear,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f03.wav
18,male_surprise,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su11.wav
19,male_angry,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a02.wav
20,male_neutral,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n08.wav
21,male_disgust,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d01.wav
22,male_happy,SAVEE,input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h03.wav
